a15-watt, a17-watt, gpu-watt, mem-watt

0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.453000, 0.167000, 0.140000, 0.058000
2.416000, 0.167000, 0.140000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
2.416000, 0.176000, 0.141000, 0.060000
1.735000, 0.176000, 0.141000, 0.060000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.735000, 0.171000, 0.142000, 0.029000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.190000, 0.164000, 0.141000, 0.030000
1.175000, 0.162000, 0.140000, 0.029000
1.175000, 0.162000, 0.140000, 0.029000
1.175000, 0.162000, 0.140000, 0.029000
1.175000, 0.162000, 0.140000, 0.029000
1.175000, 0.162000, 0.140000, 0.029000
1.175000, 0.162000, 0.140000, 0.029000
1.175000, 0.162000, 0.140000, 0.029000
1.175000, 0.162000, 0.140000, 0.029000
