a15-watt, a17-watt, gpu-watt, mem-watt

0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.389000, 0.159000, 0.135000, 0.068000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
2.180000, 0.167000, 0.137000, 0.047000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.175000, 0.158000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.157000, 0.155000, 0.136000, 0.029000
1.151000, 0.158000, 0.136000, 0.029000
1.151000, 0.158000, 0.136000, 0.029000
1.151000, 0.158000, 0.136000, 0.029000
1.151000, 0.158000, 0.136000, 0.029000
1.151000, 0.158000, 0.136000, 0.029000
1.151000, 0.158000, 0.136000, 0.029000
1.151000, 0.158000, 0.136000, 0.029000
1.151000, 0.158000, 0.136000, 0.029000
1.151000, 0.158000, 0.136000, 0.029000
