a15-watt, a17-watt, gpu-watt, mem-watt

0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.488000, 0.161000, 0.132000, 0.063000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.347000, 0.166000, 0.133000, 0.050000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
2.343000, 0.165000, 0.133000, 0.062000
1.175000, 0.162000, 0.133000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.175000, 0.162000, 0.134000, 0.044000
1.151000, 0.162000, 0.134000, 0.029000
1.151000, 0.158000, 0.134000, 0.029000
1.151000, 0.158000, 0.134000, 0.029000
1.151000, 0.158000, 0.134000, 0.029000
1.151000, 0.158000, 0.134000, 0.029000
1.151000, 0.158000, 0.134000, 0.029000
1.151000, 0.158000, 0.134000, 0.029000
1.151000, 0.158000, 0.134000, 0.029000
1.151000, 0.158000, 0.134000, 0.029000
