a15-watt, a17-watt, gpu-watt, mem-watt

0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.588000, 0.164000, 0.132000, 0.064000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
2.177000, 0.164000, 0.135000, 0.041000
1.157000, 0.158000, 0.135000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.157000, 0.158000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.141000, 0.155000, 0.134000, 0.029000
1.135000, 0.155000, 0.134000, 0.029000
1.135000, 0.155000, 0.134000, 0.029000
1.135000, 0.155000, 0.134000, 0.029000
1.135000, 0.155000, 0.134000, 0.029000
1.135000, 0.155000, 0.134000, 0.029000
1.135000, 0.155000, 0.134000, 0.029000
1.135000, 0.155000, 0.134000, 0.029000
1.135000, 0.155000, 0.134000, 0.029000
1.135000, 0.155000, 0.134000, 0.029000
